Location,Crop,Year,Site_crop_yr,Rep,Soil,EU,PRE,Yield,Weed_Control
Arlington,Corn,2019,ARL_CN_19,1,CT,101,N,11412.77172,85
Arlington,Corn,2019,ARL_CN_19,1,CT,102,Y,9434.6124,97
Arlington,Corn,2019,ARL_CN_19,1,NT,103,N,11890.43562,78
Arlington,Corn,2019,ARL_CN_19,1,NT,104,Y,13908.60079,95
Arlington,Corn,2019,ARL_CN_19,1,CCET,105,N,13704.58204,79
Arlington,Corn,2019,ARL_CN_19,1,CCET,106,Y,13587.89535,98
Arlington,Corn,2019,ARL_CN_19,1,CCPT,107,N,14293.0671,90
Arlington,Corn,2019,ARL_CN_19,1,CCPT,108,Y,14531.34834,95
Arlington,Corn,2019,ARL_CN_19,1,CCLT,109,N,11064.57882,98
Arlington,Corn,2019,ARL_CN_19,1,CCLT,110,Y,11345.23641,99
Arlington,Corn,2019,ARL_CN_19,1,CCFH,111,N,12099.58228,86
Arlington,Corn,2019,ARL_CN_19,1,CCFH,112,Y,11609.9426,98
Arlington,Corn,2019,ARL_CN_19,2,CCET,201,Y,13504.91966,95
Arlington,Corn,2019,ARL_CN_19,2,CCET,202,N,13101.04892,78
Arlington,Corn,2019,ARL_CN_19,2,CCPT,203,N,13018.24242,92
Arlington,Corn,2019,ARL_CN_19,2,CCLT,204,Y,11187.04279,98
Arlington,Corn,2019,ARL_CN_19,2,CCPT,205,Y,13227.41991,94
Arlington,Corn,2019,ARL_CN_19,2,CCFH,206,N,12008.55709,80
Arlington,Corn,2019,ARL_CN_19,2,CCFH,207,Y,13882.26756,96
Arlington,Corn,2019,ARL_CN_19,2,CCLT,208,N,11549.5889,99
Arlington,Corn,2019,ARL_CN_19,2,NT,209,N,13596.70675,90
Arlington,Corn,2019,ARL_CN_19,2,NT,210,Y,14205.18934,95
Arlington,Corn,2019,ARL_CN_19,2,CT,211,Y,13497.8078,97
Arlington,Corn,2019,ARL_CN_19,2,CT,212,N,13810.62368,83
Arlington,Corn,2019,ARL_CN_19,3,CT,301,Y,12221.04502,98
Arlington,Corn,2019,ARL_CN_19,3,CT,302,N,12058.67617,87
Arlington,Corn,2019,ARL_CN_19,3,NT,303,Y,13912.10778,97
Arlington,Corn,2019,ARL_CN_19,3,NT,304,N,14594.32457,94
Arlington,Corn,2019,ARL_CN_19,3,CCFH,305,Y,12477.42231,94
Arlington,Corn,2019,ARL_CN_19,3,CCET,306,N,13371.27264,10
Arlington,Corn,2019,ARL_CN_19,3,CCET,307,Y,14581.6894,98
Arlington,Corn,2019,ARL_CN_19,3,CCLT,308,Y,10855.37513,99
Arlington,Corn,2019,ARL_CN_19,3,CCPT,309,Y,14286.13059,98
Arlington,Corn,2019,ARL_CN_19,3,CCPT,310,N,13965.82402,97
Arlington,Corn,2019,ARL_CN_19,3,CCLT,311,N,11024.34714,99
Arlington,Corn,2019,ARL_CN_19,3,CCFH,312,N,12254.62885,95
Arlington,Corn,2019,ARL_CN_19,4,CCET,401,Y,14815.3364,98
Arlington,Corn,2019,ARL_CN_19,4,CCLT,402,Y,10711.64572,99
Arlington,Corn,2019,ARL_CN_19,4,CCFH,403,N,13494.44379,84
Arlington,Corn,2019,ARL_CN_19,4,CCFH,404,Y,13318.34797,97
Arlington,Corn,2019,ARL_CN_19,4,CCLT,405,N,11384.3474,99
Arlington,Corn,2019,ARL_CN_19,4,CCPT,406,N,14424.99416,93
Arlington,Corn,2019,ARL_CN_19,4,NT,407,Y,14590.65881,98
Arlington,Corn,2019,ARL_CN_19,4,CT,408,Y,14978.33189,99
Arlington,Corn,2019,ARL_CN_19,4,CT,409,N,14019.63738,92
Arlington,Corn,2019,ARL_CN_19,4,NT,410,N,14782.61892,94
Arlington,Corn,2019,ARL_CN_19,4,CCPT,411,Y,13741.90408,99
Arlington,Corn,2019,ARL_CN_19,4,CCET,412,N,14232.43053,90
Arlington,Corn,2020,ARL_CN_20,1,CT,101,N,14471.60548,5
Arlington,Corn,2020,ARL_CN_20,1,CT,102,Y,14169.54999,97
Arlington,Corn,2020,ARL_CN_20,1,NT,103,N,11205.1242,8
Arlington,Corn,2020,ARL_CN_20,1,NT,104,Y,12604.13436,98
Arlington,Corn,2020,ARL_CN_20,1,CCET,105,N,9959.700009,4
Arlington,Corn,2020,ARL_CN_20,1,CCET,106,Y,12634.01003,98
Arlington,Corn,2020,ARL_CN_20,1,CCPT,107,N,9753.136568,20
Arlington,Corn,2020,ARL_CN_20,1,CCPT,108,Y,11518.24646,97
Arlington,Corn,2020,ARL_CN_20,1,CCLT,109,N,7673.719556,98
Arlington,Corn,2020,ARL_CN_20,1,CCLT,110,Y,8953.567188,99
Arlington,Corn,2020,ARL_CN_20,1,CCFH,111,N,10425.68989,20
Arlington,Corn,2020,ARL_CN_20,1,CCFH,112,Y,11365.52837,98
Arlington,Corn,2020,ARL_CN_20,2,CCPT,201,Y,12112.03092,99
Arlington,Corn,2020,ARL_CN_20,2,CCLT,202,Y,8411.577205,99
Arlington,Corn,2020,ARL_CN_20,2,CCET,203,Y,11017.52894,99
Arlington,Corn,2020,ARL_CN_20,2,CCPT,204,N,10729.29241,90
Arlington,Corn,2020,ARL_CN_20,2,CCLT,205,N,9090.406243,98
Arlington,Corn,2020,ARL_CN_20,2,CCFH,206,N,11187.59389,80
Arlington,Corn,2020,ARL_CN_20,2,CCET,207,N,9386.050271,6
Arlington,Corn,2020,ARL_CN_20,2,CCFH,208,Y,10850.44376,99
Arlington,Corn,2020,ARL_CN_20,2,NT,209,Y,11123.4908,98
Arlington,Corn,2020,ARL_CN_20,2,NT,210,N,10131.45631,20
Arlington,Corn,2020,ARL_CN_20,2,CT,211,Y,12571.69936,95
Arlington,Corn,2020,ARL_CN_20,2,CT,212,N,11455.13612,10
Arlington,Corn,2020,ARL_CN_20,3,CT,301,Y,13808.29481,99
Arlington,Corn,2020,ARL_CN_20,3,CT,302,N,12291.58054,13
Arlington,Corn,2020,ARL_CN_20,3,NT,303,Y,13211.4558,99
Arlington,Corn,2020,ARL_CN_20,3,NT,304,N,12480.90425,52
Arlington,Corn,2020,ARL_CN_20,3,CCFH,305,Y,12710.70667,99
Arlington,Corn,2020,ARL_CN_20,3,CCLT,306,Y,9609.402152,99
Arlington,Corn,2020,ARL_CN_20,3,CCLT,307,N,7544.929857,99
Arlington,Corn,2020,ARL_CN_20,3,CCFH,308,N,10436.6101,70
Arlington,Corn,2020,ARL_CN_20,3,CCPT,309,N,9431.870014,35
Arlington,Corn,2020,ARL_CN_20,3,CCPT,310,Y,10453.83364,98
Arlington,Corn,2020,ARL_CN_20,3,CCET,311,N,12176.28123,15
Arlington,Corn,2020,ARL_CN_20,3,CCET,312,Y,11612.73624,99
Arlington,Corn,2020,ARL_CN_20,4,CCET,401,N,12775.44141,75
Arlington,Corn,2020,ARL_CN_20,4,CCFH,402,Y,13177.4731,99
Arlington,Corn,2020,ARL_CN_20,4,CCFH,403,N,11862.42674,28
Arlington,Corn,2020,ARL_CN_20,4,CCPT,404,Y,12309.14014,99
Arlington,Corn,2020,ARL_CN_20,4,CCLT,405,Y,8222.678005,99
Arlington,Corn,2020,ARL_CN_20,4,CCPT,406,N,10504.95241,70
Arlington,Corn,2020,ARL_CN_20,4,NT,407,N,11204.7038,80
Arlington,Corn,2020,ARL_CN_20,4,NT,408,N,12313.37666,99
Arlington,Corn,2020,ARL_CN_20,4,NT,409,N,10949.80752,25
Arlington,Corn,2020,ARL_CN_20,4,NT,410,Y,12563.77935,97
Arlington,Corn,2020,ARL_CN_20,4,CCET,411,Y,12285.01631,99
Arlington,Corn,2020,ARL_CN_20,4,CCLT,412,N,8437.929903,99
Arlington,Soybean,2019,ARL_SB_19,1,CT,101,N,3108.324824,98
Arlington,Soybean,2019,ARL_SB_19,1,CT,102,Y,2936.195129,97
Arlington,Soybean,2019,ARL_SB_19,1,NT,103,N,3516.851558,99.9
Arlington,Soybean,2019,ARL_SB_19,1,NT,104,Y,2922.671722,99.9
Arlington,Soybean,2019,ARL_SB_19,1,CCET,105,N,2680.003887,99
Arlington,Soybean,2019,ARL_SB_19,1,CCET,106,Y,3443.988211,99
Arlington,Soybean,2019,ARL_SB_19,1,CCPT,107,N,3269.311343,98
Arlington,Soybean,2019,ARL_SB_19,1,CCPT,108,Y,3171.800878,99
Arlington,Soybean,2019,ARL_SB_19,1,CCLT,109,N,3227.266721,99.9
Arlington,Soybean,2019,ARL_SB_19,1,CCLT,110,Y,3314.184244,99.9
Arlington,Soybean,2019,ARL_SB_19,1,CCFH,111,N,2936.189514,99.9
Arlington,Soybean,2019,ARL_SB_19,1,CCFH,112,Y,2798.204651,99.9
Arlington,Soybean,2019,ARL_SB_19,2,CCPT,201,Y,3184.629193,99
Arlington,Soybean,2019,ARL_SB_19,2,CCLT,202,Y,2963.686621,99.9
Arlington,Soybean,2019,ARL_SB_19,2,CCET,203,Y,2960.479168,99
Arlington,Soybean,2019,ARL_SB_19,2,CCPT,204,N,3404.35002,99
Arlington,Soybean,2019,ARL_SB_19,2,CCLT,205,N,3606.184871,99.9
Arlington,Soybean,2019,ARL_SB_19,2,CCFH,206,N,3366.253608,99
Arlington,Soybean,2019,ARL_SB_19,2,CCET,207,N,3094.108572,99.9
Arlington,Soybean,2019,ARL_SB_19,2,CCFH,208,Y,3016.452199,99.9
Arlington,Soybean,2019,ARL_SB_19,2,NT,209,Y,2931.052124,99.9
Arlington,Soybean,2019,ARL_SB_19,2,NT,210,N,2967.932781,99
Arlington,Soybean,2019,ARL_SB_19,2,CT,211,Y,3231.22616,99
Arlington,Soybean,2019,ARL_SB_19,2,CT,212,N,3090.971114,99.9
Arlington,Soybean,2019,ARL_SB_19,3,CT,301,Y,3291.363378,99
Arlington,Soybean,2019,ARL_SB_19,3,CT,302,N,3187.231014,97
Arlington,Soybean,2019,ARL_SB_19,3,NT,303,Y,3211.94476,99
Arlington,Soybean,2019,ARL_SB_19,3,NT,304,N,3079.873604,99.9
Arlington,Soybean,2019,ARL_SB_19,3,CCFH,305,Y,3726.190553,99
Arlington,Soybean,2019,ARL_SB_19,3,CCLT,306,Y,3179.565542,99.9
Arlington,Soybean,2019,ARL_SB_19,3,CCLT,307,N,3090.902241,99.9
Arlington,Soybean,2019,ARL_SB_19,3,CCFH,308,N,2321.383011,99
Arlington,Soybean,2019,ARL_SB_19,3,CCPT,309,N,3238.771479,99
Arlington,Soybean,2019,ARL_SB_19,3,CCPT,310,Y,3140.096539,99.9
Arlington,Soybean,2019,ARL_SB_19,3,CCET,311,N,3255.184925,98
Arlington,Soybean,2019,ARL_SB_19,3,CCET,312,Y,2801.023946,99
Arlington,Soybean,2019,ARL_SB_19,4,CCET,401,N,3022.478573,99.9
Arlington,Soybean,2019,ARL_SB_19,4,CCFH,402,Y,2929.634991,99
Arlington,Soybean,2019,ARL_SB_19,4,CCFH,403,N,2601.851555,99
Arlington,Soybean,2019,ARL_SB_19,4,CCPT,404,Y,2983.896682,99
Arlington,Soybean,2019,ARL_SB_19,4,CCLT,405,Y,3478.416022,99
Arlington,Soybean,2019,ARL_SB_19,4,CCPT,406,N,3055.968365,98
Arlington,Soybean,2019,ARL_SB_19,4,NT,407,N,3005.079946,98
Arlington,Soybean,2019,ARL_SB_19,4,NT,408,N,3384.698802,99
Arlington,Soybean,2019,ARL_SB_19,4,NT,409,N,3305.952443,96
Arlington,Soybean,2019,ARL_SB_19,4,NT,410,Y,3427.158908,99.9
Arlington,Soybean,2019,ARL_SB_19,4,CCET,411,Y,3131.570156,99
Arlington,Soybean,2019,ARL_SB_19,4,CCLT,412,N,2738.192452,99
Arlington,Soybean,2020,ARL_SB_20,1,CT,101,N,3987.972473,25
Arlington,Soybean,2020,ARL_SB_20,1,CT,102,Y,3973.712052,90
Arlington,Soybean,2020,ARL_SB_20,1,NT,103,N,3698.265986,10
Arlington,Soybean,2020,ARL_SB_20,1,NT,104,Y,3991.679629,85
Arlington,Soybean,2020,ARL_SB_20,1,CCET,105,N,3570.032619,10
Arlington,Soybean,2020,ARL_SB_20,1,CCET,106,Y,3876.645517,80
Arlington,Soybean,2020,ARL_SB_20,1,CCPT,107,N,4015.681813,45
Arlington,Soybean,2020,ARL_SB_20,1,CCPT,108,Y,3767.559548,75
Arlington,Soybean,2020,ARL_SB_20,1,CCLT,109,N,3753.51735,99
Arlington,Soybean,2020,ARL_SB_20,1,CCLT,110,Y,3780.1921,99
Arlington,Soybean,2020,ARL_SB_20,1,CCFH,111,N,3711.815594,20
Arlington,Soybean,2020,ARL_SB_20,1,CCFH,112,Y,3731.568624,79
Arlington,Soybean,2020,ARL_SB_20,2,CCET,201,Y,3957.138402,65
Arlington,Soybean,2020,ARL_SB_20,2,CCET,202,N,3610.501401,10
Arlington,Soybean,2020,ARL_SB_20,2,CCPT,203,N,3691.593181,30
Arlington,Soybean,2020,ARL_SB_20,2,CCLT,204,Y,3902.247872,99
Arlington,Soybean,2020,ARL_SB_20,2,CCPT,205,Y,4072.446508,80
Arlington,Soybean,2020,ARL_SB_20,2,CCFH,206,N,4020.272338,5
Arlington,Soybean,2020,ARL_SB_20,2,CCFH,207,Y,3795.851687,60
Arlington,Soybean,2020,ARL_SB_20,2,CCLT,208,N,3680.437278,99
Arlington,Soybean,2020,ARL_SB_20,2,NT,209,N,3761.53879,87
Arlington,Soybean,2020,ARL_SB_20,2,NT,210,Y,3875.893905,85
Arlington,Soybean,2020,ARL_SB_20,2,CT,211,Y,3675.458595,90
Arlington,Soybean,2020,ARL_SB_20,2,CT,212,N,3541.034159,8
Arlington,Soybean,2020,ARL_SB_20,3,CT,301,Y,3785.47023,85
Arlington,Soybean,2020,ARL_SB_20,3,CT,302,N,3597.479943,9
Arlington,Soybean,2020,ARL_SB_20,3,NT,303,Y,3677.405376,80
Arlington,Soybean,2020,ARL_SB_20,3,NT,304,N,3840.364877,60
Arlington,Soybean,2020,ARL_SB_20,3,CCFH,305,Y,3955.724638,18
Arlington,Soybean,2020,ARL_SB_20,3,CCET,306,N,3741.487061,8
Arlington,Soybean,2020,ARL_SB_20,3,CCET,307,Y,3618.632888,92
Arlington,Soybean,2020,ARL_SB_20,3,CCLT,308,Y,3549.538832,99
Arlington,Soybean,2020,ARL_SB_20,3,CCPT,309,Y,3737.63692,97
Arlington,Soybean,2020,ARL_SB_20,3,CCPT,310,N,3939.633472,18
Arlington,Soybean,2020,ARL_SB_20,3,CCLT,311,N,3541.511029,97
Arlington,Soybean,2020,ARL_SB_20,3,CCFH,312,N,3626.912975,87
Arlington,Soybean,2020,ARL_SB_20,4,CCET,401,Y,4247.416834,93
Arlington,Soybean,2020,ARL_SB_20,4,CCLT,402,Y,3559.2106,98
Arlington,Soybean,2020,ARL_SB_20,4,CCFH,403,N,3629.439561,20
Arlington,Soybean,2020,ARL_SB_20,4,CCFH,404,Y,3761.10272,84
Arlington,Soybean,2020,ARL_SB_20,4,CCLT,405,N,3234.121065,99
Arlington,Soybean,2020,ARL_SB_20,4,CCPT,406,N,3368.119912,80
Arlington,Soybean,2020,ARL_SB_20,4,NT,407,Y,3718.489896,89
Arlington,Soybean,2020,ARL_SB_20,4,CT,408,Y,3742.974191,90
Arlington,Soybean,2020,ARL_SB_20,4,CT,409,N,3637.429184,13
Arlington,Soybean,2020,ARL_SB_20,4,NT,410,N,3830.794921,20
Arlington,Soybean,2020,ARL_SB_20,4,CCPT,411,Y,3845.59285,84
